parameter,condition,median,q5,q95
mu[v],1,-0.01,-0.11,0.1
mu[v],2,0.16,0.04,0.28
mu[v],3,-0.01,-0.11,0.09
mu[v],4,0.19,0.08,0.3
mu[a],1,2.1,1.97,2.22
mu[a],2,2.16,2.04,2.28
mu[a],3,2.14,2.02,2.27
mu[a],4,2.23,2.09,2.36
mu[ndt],1,1.77,1.64,1.91
mu[ndt],2,1.45,1.35,1.57
mu[ndt],3,1.81,1.68,1.93
mu[ndt],4,1.5,1.39,1.6
mu[bias],1,0.53,0.49,0.58
mu[bias],2,0.67,0.62,0.72
mu[bias],3,0.56,0.51,0.6
mu[bias],4,0.67,0.62,0.72
mu[ndt[sd]],NA,2.16,1.78,2.55
