variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
transf_mu_v[1],0.016287060992087373,0.0165625,0.03668869675659603,0.03676226790599999,-0.044346815,0.07580206999999992,1.0011271746861679,4183.441293461506,5472.071640803349
transf_mu_v[2],0.266387084825,0.26624149999999996,0.050985915747797386,0.0504892017,0.1830367,0.3506390999999999,1.0018379066194782,2394.3039112452116,4189.147124948125
transf_mu_v[3],0.02439840385475,0.0248398,0.04112550057618529,0.040820173758,-0.043402565000000004,0.0906248749999999,1.000566506772271,3512.145861999806,5085.631201174721
transf_mu_v[4],0.32296802075,0.32269000000000003,0.04330525677293507,0.043899044700000056,0.2533069,0.39501335,1.001555475256089,3170.5692857855533,4703.782014715875
transf_mu_a[1],2.7978752050000004,2.7974450000000006,0.05612832603134421,0.05593108500000001,2.705889,2.8903010000000005,1.0000865405105817,4508.068655748546,5449.163852207568
transf_mu_a[2],2.8577080612500003,2.8576,0.05423727810436995,0.05375166299999989,2.7698590000000007,2.9479840000000004,1.0006272446507105,4643.547812779286,5519.052726757738
transf_mu_a[3],2.86239034625,2.8625100000000003,0.05405874564319061,0.05422609500000003,2.7738695,2.9503055,1.0006755749499425,4284.5484596181195,5188.515249586287
transf_mu_a[4],2.93134314125,2.93095,0.0580737650345938,0.05743592399999966,2.8352995,3.0269105000000005,1.00042997039502,4122.717913267945,5098.471077907969
transf_mu_ndt[1],2.1627477575,2.1617200000000003,0.08725985197324133,0.08536810800000028,2.019715,2.3067205000000004,1.0002992083110382,7955.720538947107,5877.352405483445
transf_mu_ndt[2],1.8222813287500002,1.823125,0.07027017534569549,0.06955617900000005,1.70602,1.9366855,1.0003908626519349,6397.661927082247,5875.017598756063
transf_mu_ndt[3],2.1570444487500002,2.15712,0.08057078846139132,0.07966751100000045,2.024198,2.289502,1.0002831144229003,7244.462018149272,5796.018802776944
transf_mu_ndt[4],1.81743688625,1.8173400000000002,0.058107314507873944,0.05871095999999995,1.7217410000000002,1.9123820000000002,1.0007190404063073,5705.554354650583,5685.2165810009055
transf_mu_bias[1],0.518042656375,0.5181629999999999,0.014129350279682481,0.014098043400000065,0.49482265000000003,0.54106205,1.000060185615226,4867.4648991873955,5881.713406317455
transf_mu_bias[2],0.585248953625,0.5854904999999999,0.015123755480301586,0.015157361100000077,0.5604449,0.6100159999999999,1.0010159858773555,3824.4165237013385,4819.327697179071
transf_mu_bias[3],0.535397896375,0.5352629999999999,0.014061362214470985,0.0142388904,0.51253665,0.5586873999999998,1.0006346947707887,5064.510723156086,5998.448118950141
transf_mu_bias[4],0.569777306625,0.5696045000000001,0.016547938960806835,0.016664423999999792,0.5424621000000001,0.5971264,1.001762657648369,3783.9053264108993,5279.681008536867
