parameter,condition,median,q5,q95
mu[v],1,-0.03,-0.1,0.03
mu[v],2,0.01,-0.05,0.08
mu[v],3,-0.06,-0.12,0
mu[v],4,-0.01,-0.09,0.07
mu[a],1,2.08,1.97,2.18
mu[a],2,2.02,1.9,2.13
mu[a],3,2.02,1.91,2.14
mu[a],4,2.03,1.92,2.15
mu[ndt],1,0.65,0.59,0.71
mu[ndt],2,0.65,0.59,0.7
mu[ndt],3,0.66,0.61,0.71
mu[ndt],4,0.61,0.56,0.67
mu[bias],1,0.58,0.56,0.6
mu[bias],2,0.65,0.62,0.68
mu[bias],3,0.6,0.57,0.63
mu[bias],4,0.66,0.63,0.69
mu[ndt[sd]],NA,1.02,0.89,1.17
