parameter,condition,median,q5,q95
mu[v],1,0,-0.09,0.11
mu[v],2,0.15,0.05,0.25
mu[v],3,0.14,0.04,0.24
mu[v],4,0.15,0.05,0.26
mu[a],1,2.08,1.96,2.2
mu[a],2,2.15,2.03,2.27
mu[a],3,2.1,1.98,2.22
mu[a],4,2.05,1.93,2.17
mu[ndt],1,1.63,1.51,1.75
mu[ndt],2,1.43,1.33,1.55
mu[ndt],3,1.58,1.47,1.7
mu[ndt],4,1.49,1.38,1.6
mu[bias],1,0.54,0.5,0.58
mu[bias],2,0.56,0.52,0.6
mu[bias],3,0.53,0.49,0.57
mu[bias],4,0.58,0.53,0.62
mu[ndt[sd]],NA,2.33,1.92,2.74
