parameter,median,q5,q95
Intercept,0.45,0.35,0.55
beta[Repetition * phantom(.) * status],0.18,0.13,0.24
beta[Factual * phantom(.) * truth],-0,-0.05,0.04
beta[Repetition * phantom(.) * status:Factual * phantom(.) * truth],0.01,-0.03,0.06
