parameter,condition,median,q5,q95
mu[v],1,0.02,-0.06,0.09
mu[v],2,0.27,0.17,0.37
mu[v],3,0.02,-0.06,0.1
mu[v],4,0.32,0.24,0.41
mu[a],1,2.8,2.69,2.91
mu[a],2,2.86,2.75,2.97
mu[a],3,2.86,2.75,2.97
mu[a],4,2.93,2.82,3.05
mu[ndt],1,2.16,1.99,2.33
mu[ndt],2,1.82,1.68,1.97
mu[ndt],3,2.15,2,2.32
mu[ndt],4,1.82,1.7,1.94
mu[bias],1,0.52,0.49,0.54
mu[bias],2,0.59,0.56,0.62
mu[bias],3,0.54,0.51,0.56
mu[bias],4,0.57,0.54,0.6
