parameter,effect,median,ci_low,ci_high
mu_a,Factual truth,0.03547500000000037,-0.05834112500000045,0.13115799999999964
mu_a,Interaction,-0.022095000000000198,-0.15624749999999948,0.10865025000000003
mu_a,Repetition status,-0.059254999999999836,-0.19129487499999953,0.0737713750000002
mu_bias,Factual truth,-0.007591250000000049,-0.02492792500000003,0.009959387500000045
mu_bias,Interaction,0.014171249999999969,-0.011273524999999975,0.03935712500000008
mu_bias,Repetition status,0.016515500000000072,-0.008202000000000015,0.04101050000000005
mu_ndt,Factual truth,0.06374500000000016,-0.03336612499999987,0.1655462499999998
mu_ndt,Interaction,-0.0066950000000000065,-0.14825725000000026,0.1377579999999999
mu_ndt,Repetition status,-0.08490500000000001,-0.22582637500000013,0.05401262499999986
mu_v,Factual truth,-0.071876775,-0.1157257685,-0.029175576250000022
mu_v,Interaction,-0.05423320499999999,-0.116574808,0.008809316249999992
mu_v,Repetition status,0.093109675,0.03153706275000002,0.15709586250000002
