variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
mu_v_1,0.01,0.01,0.03,0.03,-0.04,0.06,1,8484.5,6444
mu_v_2,0.26,0.26,0.05,0.04,0.19,0.34,1,5191.69,6099.27
mu_v_3,0.01,0.01,0.03,0.03,-0.05,0.06,1,7384.13,6696.39
mu_v_4,0.32,0.32,0.04,0.04,0.26,0.38,1,5896.88,6641.01
mu_a_1,2.86,2.86,0.07,0.07,2.75,2.97,1,5199.55,6055.35
mu_a_2,2.95,2.95,0.07,0.07,2.83,3.07,1,5753.27,6273.62
mu_a_3,2.94,2.94,0.07,0.07,2.83,3.06,1,5531.9,6424.49
mu_a_4,3.07,3.07,0.07,0.07,2.95,3.2,1,5531.42,5769.74
mu_ndt_1,2.11,2.1,0.09,0.08,1.97,2.25,1,907.47,1843.73
mu_ndt_2,1.66,1.66,0.06,0.06,1.57,1.77,1,1431.71,2707.91
mu_ndt_3,2.07,2.07,0.08,0.08,1.94,2.2,1,1205.09,2356.47
mu_ndt_4,1.6,1.6,0.06,0.06,1.51,1.7,1,1756.88,3046.88
mu_bias_1,0.52,0.52,0.01,0.01,0.5,0.54,1,7463.54,6466.96
mu_bias_2,0.58,0.58,0.01,0.01,0.56,0.6,1,7083.82,6053.13
mu_bias_3,0.54,0.54,0.01,0.01,0.52,0.57,1,9567.07,6128.31
mu_bias_4,0.56,0.56,0.01,0.01,0.53,0.58,1,7811.61,6501.61
