sim_id,condition,parameter,median
45,1,a,6.3032
45,2,a,2.45025
45,3,a,7.528765
45,4,a,2.6087750000000005
45,1,bias,0.419598
45,2,bias,0.463766
45,3,bias,0.378654
45,4,bias,0.5011045
45,1,ndt,0.9892965
45,2,ndt,3.393025
45,3,ndt,1.6899600000000001
45,4,ndt,1.23221
45,1,v,5.360265
45,2,v,2.6767950000000003
45,3,v,3.8655150000000003
45,4,v,2.396375
