sim_id,condition,parameter,median
11,1,a,2.1598500000000005
11,2,a,2.8114350000000004
11,3,a,6.492100000000001
11,4,a,2.6301750000000004
11,1,bias,0.5472865
11,2,bias,0.5599529999999999
11,3,bias,0.38359899999999997
11,4,bias,0.4855825
11,1,ndt,1.9029500000000001
11,2,ndt,0.9863549999999999
11,3,ndt,1.0591745000000001
11,4,ndt,1.42283
11,1,v,2.500675
11,2,v,0.5557105
11,3,v,4.327015000000001
11,4,v,2.839875
