sim_id,condition,parameter,median
12,1,a,3.0082350000000004
12,2,a,2.8461350000000003
12,3,a,2.9778650000000004
12,4,a,3.302855
12,1,bias,0.5324819999999999
12,2,bias,0.5647215
12,3,bias,0.418408
12,4,bias,0.5714319999999999
12,1,ndt,0.7401765
12,2,ndt,1.41589
12,3,ndt,1.95999
12,4,ndt,0.753208
12,1,v,1.7937250000000002
12,2,v,2.1833800000000005
12,3,v,1.3706050000000003
12,4,v,1.0789650000000002
