sim_id,condition,parameter,median
39,1,a,3.16132
39,2,a,3.4105700000000003
39,3,a,2.9178450000000002
39,4,a,5.364205
39,1,bias,0.604598
39,2,bias,0.4547945
39,3,bias,0.5219975
39,4,bias,0.52994
39,1,ndt,2.22769
39,2,ndt,1.0994350000000002
39,3,ndt,1.5637500000000002
39,4,ndt,1.0608900000000001
39,1,v,1.4821650000000002
39,2,v,2.120285
39,3,v,0.9897275
39,4,v,3.269385
