parameter,condition,median,q5,q95
mu[v],1,0,-0.06,0.07
mu[v],2,0.12,0.05,0.19
mu[v],3,0.01,-0.05,0.07
mu[v],4,0.15,0.05,0.25
mu[a],1,2.45,2.38,2.51
mu[a],2,2.39,2.32,2.46
mu[a],3,2.38,2.31,2.45
mu[a],4,2.4,2.33,2.48
mu[ndt],1,0.84,0.78,0.91
mu[ndt],2,0.82,0.77,0.88
mu[ndt],3,0.85,0.79,0.92
mu[ndt],4,0.79,0.73,0.85
mu[bias],1,0.56,0.54,0.58
mu[bias],2,0.59,0.57,0.61
mu[bias],3,0.57,0.55,0.59
mu[bias],4,0.58,0.56,0.6
