id,trial,session,stim_type,correct_resp,resp,rt,correct
3,42,2,0,0,1,2.5,0
3,43,2,1,1,1,2.48,1
3,44,2,1,0,0,2.37,1
3,45,2,0,0,1,4.17,0
3,46,2,1,1,1,2.52,1
3,47,2,0,1,1,3.44,1
3,48,2,0,0,1,2.65,0
3,49,2,1,0,1,1.88,0
3,50,2,0,0,0,6.2,1
3,51,2,0,1,1,4.47,1
3,52,2,0,0,1,2.26,0
3,53,2,0,1,1,2.53,1
3,54,2,0,1,0,4.06,0
3,55,2,1,1,1,5.77,1
3,56,2,0,0,0,2.79,1
3,57,2,0,0,1,7.48,0
3,58,2,1,0,1,2.33,0
3,59,2,0,1,1,2.2,1
3,60,2,0,1,1,3.19,1
4,1,2,1,0,0,5.91,1
4,2,2,1,0,1,4.85,0
4,3,2,0,1,0,4.07,0
4,5,2,1,1,1,3.1,1
4,6,2,1,1,1,3.75,1
4,7,2,1,0,1,2.75,0
4,8,2,0,1,1,3.9,1
4,9,2,1,1,1,2.89,1
4,10,2,1,0,1,4.55,0
4,11,2,1,1,1,5.35,1
4,12,2,1,0,1,4,0
4,13,2,1,1,1,2.6,1
4,14,2,1,0,1,2.4,0
4,15,2,0,0,1,3.69,0
4,16,2,0,0,1,2.51,0
4,17,2,1,0,1,2.71,0
4,18,2,1,0,1,2.38,0
4,19,2,0,0,1,4.4,0
4,20,2,1,0,0,5.25,1
4,21,2,0,0,1,3.46,0
4,22,2,0,0,1,2.83,0
4,23,2,1,0,1,3.65,0
4,24,2,0,1,0,4.1,0
4,25,2,0,0,1,2.96,0
4,26,2,0,1,1,3.68,1
4,27,2,1,1,0,4.2,0
4,28,2,1,1,1,2.48,1
4,29,2,0,0,1,6.63,0
4,30,2,0,0,0,6.09,1
4,31,2,0,1,1,4.6,1
4,32,2,0,1,1,3.18,1
4,33,2,1,1,1,2.44,1
4,34,2,0,0,0,4.07,1
4,35,2,1,1,1,3.77,1
4,36,2,0,0,0,2.48,1
4,37,2,1,0,1,2.63,0
4,38,2,0,1,0,3.59,0
4,39,2,0,0,1,3.42,0
4,40,2,0,0,0,3.13,1
4,41,2,1,0,0,2.27,1
4,42,2,0,1,0,3.99,0
4,43,2,0,1,0,3.9,0
4,44,2,0,1,1,3.2,1
4,45,2,0,1,1,2.47,1
4,46,2,1,1,1,2.79,1
4,47,2,0,0,1,4.9,0
4,48,2,0,1,1,5.34,1
4,49,2,1,1,1,2.23,1
4,50,2,1,1,1,3.14,1
4,51,2,0,0,0,3.2,1
4,52,2,1,0,0,4.85,1
4,53,2,1,0,1,3.15,0
4,54,2,1,0,1,3.28,0
4,55,2,1,1,1,2.91,1
4,56,2,0,1,1,2.43,1
4,57,2,0,1,1,4.02,1
4,58,2,1,1,1,3.2,1
4,59,2,1,1,0,4.16,0
4,60,2,0,0,0,4.77,1
5,1,2,1,1,1,4.33,1
5,2,2,1,0,0,3.02,1
5,3,2,1,1,1,3.47,1
5,4,2,1,0,0,3.55,1
5,5,2,1,0,0,3.97,1
5,6,2,1,1,1,3.42,1
5,7,2,1,0,0,3.33,1
5,8,2,0,0,1,5.78,0
5,9,2,1,1,1,3.11,1
5,10,2,1,0,0,7.15,1
5,11,2,0,1,1,4.87,1
5,12,2,1,1,0,6.15,0
5,13,2,0,1,0,7.02,0
5,14,2,1,0,0,3.67,1
5,15,2,0,0,0,9.25,1
5,16,2,0,1,1,7.23,1
5,17,2,1,1,0,4.73,0
5,19,2,0,0,1,6.12,0
5,20,2,0,1,0,3.88,0
5,21,2,0,1,0,3.45,0
5,22,2,1,1,1,4.46,1
5,23,2,1,1,1,4.12,1
5,24,2,0,0,0,6.66,1
5,25,2,0,1,0,6.22,0
5,26,2,0,0,0,6.23,1
5,29,2,1,1,1,3.58,1
5,30,2,0,1,1,7.26,1
5,31,2,0,0,1,4.76,0
5,32,2,1,0,0,3.45,1
5,33,2,0,1,0,6.68,0
5,34,2,0,1,1,5.23,1
5,35,2,1,0,1,4.29,0
5,36,2,0,1,0,4.91,0
5,37,2,0,0,1,4.99,0
5,38,2,0,1,1,9.26,1
5,39,2,1,0,0,3,1
5,40,2,0,0,0,4.32,1
5,42,2,1,0,0,3.36,1
5,43,2,1,0,0,4.83,1
5,44,2,0,1,0,3.93,0
5,45,2,0,0,0,6.46,1
5,46,2,1,1,1,3.14,1
5,47,2,0,1,0,6.02,0
5,48,2,0,0,1,5.13,0
5,49,2,1,1,1,4.15,1
5,50,2,0,0,1,5.42,0
5,51,2,0,0,0,4.45,1
5,52,2,0,0,1,3.6,0
5,53,2,1,0,0,3.69,1
5,54,2,1,1,0,3.98,0
5,55,2,1,1,0,5.58,0
5,56,2,0,0,0,7.35,1
5,57,2,1,0,1,3.8,0
5,58,2,1,1,0,4.07,0
5,59,2,0,0,1,7.08,0
5,60,2,1,1,1,5.8,1
6,1,2,1,0,1,4.9,0
6,2,2,0,1,0,6.68,0
6,3,2,1,1,0,3.29,0
6,4,2,0,1,0,4.59,0
6,5,2,0,0,1,3.26,0
6,6,2,1,0,0,3.19,1
6,7,2,0,1,1,6.34,1
6,8,2,0,1,0,2.78,0
6,9,2,1,1,0,8.57,0
6,10,2,0,1,1,4.74,1
6,11,2,1,1,0,8.51,0
6,12,2,1,0,0,3.28,1
6,13,2,1,0,0,5.75,1
6,14,2,0,0,1,2.62,0
6,15,2,0,0,1,6.06,0
6,16,2,1,1,0,4.92,0
6,17,2,1,0,0,8.13,1
6,18,2,1,0,0,3.75,1
6,19,2,1,1,1,2.67,1
6,20,2,0,0,0,7.56,1
6,21,2,0,0,1,7.32,0
6,22,2,0,1,1,5.43,1
6,23,2,0,0,1,4.91,0
6,24,2,0,1,0,4.72,0
6,25,2,1,0,1,5.95,0
6,26,2,0,1,0,7.71,0
6,27,2,0,1,1,3.98,1
6,28,2,1,1,0,3.56,0
6,29,2,1,1,0,4.43,0
6,30,2,1,0,1,3.95,0
6,31,2,1,1,1,3.42,1
6,32,2,1,0,1,2.51,0
6,33,2,1,0,1,2.34,0
6,34,2,0,1,0,5.32,0
6,35,2,1,0,1,5.4,0
6,36,2,1,1,1,3.29,1
6,37,2,0,1,1,9.28,1
6,38,2,1,0,0,2.99,1
6,39,2,0,1,1,4.8,1
6,40,2,0,0,0,7.23,1
6,41,2,1,1,1,3.89,1
6,42,2,0,0,1,6.34,0
6,43,2,1,1,0,8.27,0
6,44,2,1,1,1,5.43,1
6,45,2,0,0,0,5.69,1
6,46,2,0,0,1,4.69,0
6,47,2,0,1,1,2.98,1
6,48,2,1,0,1,3.29,0
6,50,2,0,0,1,4.33,0
6,51,2,0,1,0,4.76,0
6,52,2,1,0,1,3.28,0
6,53,2,0,0,0,6.77,1
6,54,2,1,1,0,5.54,0
6,55,2,0,1,1,3.75,1
6,56,2,1,1,1,3.72,1
6,57,2,0,0,1,3.46,0
6,58,2,0,0,0,8.8,1
6,59,2,1,1,1,2.77,1
6,60,2,1,0,0,5.12,1
7,1,2,0,0,1,3.66,0
7,2,2,0,1,0,2.29,0
7,3,2,1,0,1,2.8,0
7,4,2,1,0,0,4.91,1
7,5,2,1,1,0,5.38,0
7,6,2,1,0,1,2.95,0
7,7,2,0,1,1,3.41,1
7,8,2,0,1,1,4.2,1
7,9,2,1,1,0,3.02,0
7,10,2,0,1,1,2.75,1
7,11,2,1,0,0,3.91,1
7,12,2,1,0,0,2.83,1
7,13,2,0,1,0,2.74,0
7,14,2,0,0,1,3.2,0
7,15,2,0,0,1,2.97,0
7,16,2,0,1,1,3.99,1
7,17,2,0,0,0,2.65,1
7,18,2,1,0,1,2.5,0
7,19,2,0,1,1,3.26,1
7,20,2,1,1,0,2.83,0
7,21,2,1,0,1,2.44,0
7,22,2,1,1,0,3.96,0
7,23,2,0,1,1,6.13,1
7,25,2,1,0,1,2.73,0
7,26,2,0,0,1,3.63,0
7,27,2,0,1,1,2.83,1
7,28,2,1,0,1,4.46,0
7,29,2,1,0,1,2.55,0
7,30,2,1,1,1,4.75,1
7,31,2,1,0,0,3.58,1
7,32,2,1,1,1,2.67,1
7,33,2,0,0,0,3.55,1
7,34,2,0,1,0,3.04,0
7,35,2,0,0,0,4.05,1
7,36,2,1,1,0,3.13,0
7,37,2,0,0,0,2.85,1
7,38,2,1,0,1,3.4,0
7,39,2,1,1,1,3.35,1
7,40,2,1,1,1,5.29,1
7,41,2,0,0,0,3.17,1
7,42,2,1,1,0,2.98,0
7,43,2,0,1,1,3.83,1
7,44,2,0,1,1,2.66,1
7,45,2,1,1,0,3.34,0
7,46,2,0,1,0,3.94,0
7,47,2,1,1,1,3.37,1
7,48,2,0,0,1,2.45,0
7,49,2,0,0,0,3.86,1
7,50,2,0,1,0,3,0
7,51,2,0,1,1,3.62,1
7,52,2,0,0,1,3.92,0
7,53,2,0,0,1,3.87,0
7,54,2,1,1,1,2.34,1
7,55,2,1,1,1,3.03,1
7,56,2,1,1,1,2.11,1
7,57,2,1,0,1,3.93,0
7,58,2,1,0,1,1.92,0
7,59,2,0,0,0,3.65,1
7,60,2,1,0,1,3,0
8,1,2,0,1,1,1.77,1
8,2,2,1,0,1,3.03,0
8,3,2,0,1,1,3.4,1
8,4,2,1,0,1,2.47,0
8,5,2,0,0,0,3.7,1
8,6,2,1,0,1,2.13,0
8,7,2,0,1,0,4.31,0
8,8,2,1,1,0,4,0
8,9,2,1,0,0,3.12,1
8,10,2,0,1,0,3.89,0
8,11,2,0,0,1,2.29,0
8,12,2,1,1,1,2.44,1
8,13,2,0,1,1,3.37,1
8,14,2,1,0,0,1.96,1
8,15,2,0,0,1,4.04,0
8,16,2,1,1,1,3.61,1
8,17,2,0,1,1,3.9,1
8,18,2,1,0,1,4.38,0
8,19,2,1,1,1,4.46,1
8,20,2,0,0,1,5.09,0
8,21,2,0,0,0,3.43,1
8,22,2,1,0,0,3.03,1
8,23,2,1,0,1,4.69,0
8,24,2,1,0,1,3.32,0
8,25,2,0,1,0,2.62,0
8,26,2,1,1,1,3.95,1
8,27,2,1,1,1,5.57,1
8,28,2,1,1,0,3.78,0
8,29,2,1,1,1,4.13,1
8,31,2,0,1,0,4.64,0
8,32,2,0,0,1,5.22,0
8,33,2,0,0,0,2.75,1
8,34,2,0,1,0,5.5,0
8,35,2,1,0,1,2.55,0
8,36,2,0,0,1,3.92,0
8,37,2,0,0,0,3.55,1
8,38,2,1,1,0,4.58,0
8,39,2,0,1,1,3.54,1
8,40,2,0,0,0,4.3,1
8,41,2,0,0,1,3.13,0
8,42,2,0,1,1,2.86,1
8,43,2,1,1,1,5.38,1
8,44,2,0,1,1,4.59,1
8,45,2,1,1,1,2.74,1
8,46,2,1,0,0,4.07,1
8,47,2,1,0,1,3.7,0
8,48,2,1,1,1,2.93,1
8,49,2,1,1,0,2,0
8,50,2,0,1,1,3.38,1
8,51,2,0,1,1,3.3,1
8,52,2,1,1,1,3.2,1
8,53,2,1,0,1,2.33,0
8,54,2,1,0,0,5.49,1
8,55,2,1,0,1,3.04,0
8,56,2,0,0,1,2.5,0
8,57,2,0,0,1,3.77,0
8,58,2,0,0,0,2.57,1
8,59,2,0,0,0,2.51,1
8,60,2,1,1,1,4.41,1
9,1,2,1,1,1,3.42,1
9,2,2,1,1,0,3.95,0
9,3,2,1,1,0,4.68,0
9,4,2,1,0,1,2.69,0
9,5,2,0,0,1,4.3,0
9,6,2,0,1,1,4.83,1
9,7,2,1,1,0,3.71,0
9,8,2,1,0,1,3.5,0
9,9,2,1,1,1,4.31,1
9,10,2,0,1,1,3.85,1
9,11,2,1,0,0,3.57,1
9,12,2,0,1,1,2.45,1
9,13,2,0,0,1,2.79,0
9,14,2,1,1,1,1.97,1
9,15,2,1,0,1,3.77,0
9,16,2,1,0,1,6.37,0
9,17,2,0,1,1,4.01,1
9,18,2,1,1,1,2.4,1
9,19,2,1,1,1,2.33,1
9,20,2,1,1,1,4.37,1
9,21,2,1,0,1,2.76,0
9,22,2,0,0,0,2.9,1
9,23,2,0,1,0,4.4,0
9,24,2,0,1,0,3.94,0
9,25,2,0,0,1,4.72,0
9,26,2,1,1,1,2.73,1
9,27,2,1,0,1,3.5,0
9,28,2,0,0,1,3.89,0
9,29,2,0,0,1,4.57,0
9,30,2,1,1,1,3.92,1
9,31,2,1,1,1,4.77,1
9,32,2,1,0,0,3.72,1
9,33,2,0,0,1,2.76,0
9,34,2,1,1,1,2.45,1
9,35,2,0,0,0,3.03,1
9,36,2,1,0,1,2.16,0
9,37,2,0,0,1,3.21,0
9,38,2,0,0,0,4.81,1
9,39,2,1,0,1,2.23,0
9,40,2,1,0,1,3.13,0
9,41,2,1,0,1,3.4,0
9,42,2,0,1,1,3.44,1
9,43,2,1,0,1,2.97,0
9,44,2,0,1,1,3.8,1
9,45,2,1,1,1,5.51,1
9,46,2,0,1,1,2.97,1
9,47,2,0,1,1,5.41,1
9,48,2,0,1,1,2.97,1
9,49,2,0,0,1,2.44,0
9,50,2,0,1,1,2.43,1
9,51,2,1,0,0,3.1,1
9,52,2,1,0,0,2.71,1
9,53,2,0,0,1,3.71,0
9,54,2,0,1,1,2.97,1
9,55,2,0,0,1,2.33,0
9,56,2,0,0,0,3.3,1
9,57,2,0,1,1,2.42,1
9,58,2,0,0,1,4.37,0
9,59,2,0,1,1,2.33,1
9,60,2,1,1,1,4.41,1
10,1,2,1,0,0,4.19,1
10,2,2,1,1,0,3.94,0
10,3,2,0,0,1,3.47,0
