parameter,effect,median,ci_low,ci_high,p_post,bf
mu[a],Factual truth,0.07,-0.04,0.17,3.79,0.04
mu[a],Interaction,-0.04,-0.15,0.06,5.35,0.03
mu[a],Repetition status,-0.02,-0.13,0.08,6.72,0.02
mu[bias],Factual truth,0,-0.02,0.03,27.61,0.12
mu[bias],Interaction,0.02,-0.01,0.05,11.84,0.28
mu[bias],Repetition status,0.01,-0.02,0.04,19.89,0.17
mu[ndt],Factual truth,-0.02,-0.17,0.13,5.2,0.06
mu[ndt],Interaction,0.02,-0.13,0.17,5.15,0.06
mu[ndt],Repetition status,-0.08,-0.23,0.07,2.99,0.1
mu[v],Factual truth,-0.06,-0.14,0.03,3.71,0.05
mu[v],Interaction,-0.06,-0.14,0.02,3.3,0.06
mu[v],Repetition status,0.11,0.03,0.2,0.24,0.84
