parameter,condition,median,q5,q95
mu[v],1,0.02,-0.06,0.1
mu[v],2,0.19,0.1,0.29
mu[v],3,0.14,0.07,0.21
mu[v],4,0.19,0.11,0.27
mu[a],1,2.83,2.72,2.94
mu[a],2,2.85,2.75,2.95
mu[a],3,2.81,2.69,2.93
mu[a],4,2.74,2.64,2.84
mu[ndt],1,2.03,1.88,2.18
mu[ndt],2,1.93,1.77,2.09
mu[ndt],3,2.02,1.89,2.16
mu[ndt],4,1.97,1.81,2.12
mu[bias],1,0.53,0.5,0.55
mu[bias],2,0.52,0.49,0.55
mu[bias],3,0.51,0.48,0.53
mu[bias],4,0.54,0.51,0.57
