id,trial,session,stim_type,factual_truth,resp,rt,correct,condition
3,23,1,1,0,1,2.88,0,4
3,24,1,0,0,1,4.39,0,3
3,25,1,1,1,1,2.64,1,2
3,26,1,0,0,1,5.68,0,3
3,27,1,1,1,1,1.93,1,2
3,28,1,0,0,1,3.15,0,3
3,29,1,1,0,1,6.75,0,4
3,30,1,0,0,0,3.13,1,3
3,31,1,1,0,1,2.45,0,4
3,32,1,0,1,0,2.92,0,1
3,34,1,0,0,1,3.09,0,3
3,36,1,1,1,1,1.96,1,2
3,37,1,1,0,0,2.99,1,4
3,38,1,0,1,1,4.65,1,1
3,39,1,0,0,0,3.39,1,3
3,40,1,1,1,1,1.96,1,2
3,41,1,0,1,0,5.77,0,1
3,42,1,0,0,0,3.5,1,3
3,43,1,1,1,1,3.3,1,2
3,45,1,0,1,0,3.23,0,1
3,46,1,1,0,1,2.58,0,4
3,47,1,0,1,0,3.31,0,1
3,48,1,0,0,1,3.56,0,3
3,49,1,1,1,1,3.15,1,2
3,50,1,0,0,0,6.05,1,3
3,51,1,0,0,1,2.74,0,3
3,52,1,1,1,1,2.23,1,2
3,53,1,1,1,1,2.6,1,2
3,54,1,1,0,1,5.16,0,4
3,55,1,1,1,1,2.29,1,2
3,56,1,0,0,0,2.98,1,3
3,57,1,0,0,1,3.38,0,3
3,58,1,1,0,1,2.02,0,4
3,59,1,1,1,1,2.03,1,2
3,60,1,0,1,0,3.35,0,1
4,1,1,0,1,1,6.61,1,1
4,2,1,0,1,1,3.21,1,1
4,3,1,1,1,1,3.04,1,2
4,4,1,0,0,1,3.15,0,3
4,5,1,1,0,1,3.39,0,4
4,6,1,0,0,1,2.67,0,3
4,7,1,1,0,1,3.37,0,4
4,8,1,1,0,1,3.82,0,4
4,9,1,0,1,1,2.49,1,1
4,10,1,0,1,1,5.41,1,1
4,11,1,0,0,1,3.26,0,3
4,12,1,1,1,1,2.35,1,2
4,13,1,0,1,1,7.05,1,1
4,14,1,1,1,1,2.45,1,2
4,15,1,1,1,1,3.5,1,2
4,16,1,1,0,1,4.59,0,4
4,17,1,0,0,0,5.29,1,3
4,18,1,0,1,1,2.87,1,1
4,19,1,1,1,1,2.1,1,2
4,20,1,0,0,0,4.87,1,3
4,21,1,0,1,1,1.7,1,1
4,22,1,1,0,1,2.23,0,4
4,23,1,0,1,1,2,1,1
4,24,1,0,0,1,3.6,0,3
4,25,1,1,1,1,2.8,1,2
4,26,1,1,0,1,2.89,0,4
4,27,1,1,0,1,2.37,0,4
4,29,1,0,0,1,3.32,0,3
4,30,1,1,1,1,2.62,1,2
4,31,1,1,1,1,3.12,1,2
4,32,1,1,1,1,2.1,1,2
4,33,1,1,1,1,1.67,1,2
4,35,1,1,0,1,3.35,0,4
4,36,1,1,1,0,4.9,0,2
4,37,1,0,0,1,3.37,0,3
4,38,1,1,0,1,2.53,0,4
4,39,1,0,0,1,4.12,0,3
4,40,1,1,1,1,2.41,1,2
4,41,1,0,1,1,3.2,1,1
4,43,1,0,1,0,3.15,0,1
4,44,1,0,0,0,3.04,1,3
4,45,1,0,0,1,3.55,0,3
4,46,1,0,0,1,4.88,0,3
4,48,1,1,0,1,3.23,0,4
4,49,1,0,0,1,3.21,0,3
4,50,1,1,1,1,5.27,1,2
4,51,1,0,1,1,2.27,1,1
4,52,1,1,0,1,2.5,0,4
4,53,1,1,1,1,1.83,1,2
4,54,1,1,1,0,4.8,0,2
4,55,1,0,1,1,5.28,1,1
4,56,1,0,1,1,3.17,1,1
4,57,1,0,0,1,3.82,0,3
4,58,1,1,0,0,3.12,1,4
4,59,1,1,0,1,2.8,0,4
5,1,1,0,1,1,5.98,1,1
5,2,1,0,0,0,5.92,1,3
5,3,1,0,1,0,4.8,0,1
5,4,1,1,1,1,9.47,1,2
5,5,1,0,0,0,5.87,1,3
5,6,1,0,1,0,5.13,0,1
5,7,1,1,1,1,4.84,1,2
5,8,1,0,0,0,8.64,1,3
5,9,1,0,0,1,5.12,0,3
5,10,1,0,1,0,8.67,0,1
5,11,1,1,0,1,4.07,0,4
5,12,1,1,1,1,4.17,1,2
5,13,1,1,0,1,4.65,0,4
5,14,1,0,1,1,5.26,1,1
5,15,1,1,1,0,6.41,0,2
5,16,1,1,0,0,4.24,1,4
5,17,1,1,1,0,6.57,0,2
5,18,1,1,1,1,4.21,1,2
5,19,1,1,0,1,4.83,0,4
5,20,1,1,1,1,6.56,1,2
5,21,1,1,0,1,8.55,0,4
5,23,1,0,0,1,9.05,0,3
5,24,1,1,0,1,4.08,0,4
5,25,1,0,1,0,4.62,0,1
5,27,1,0,1,1,5.8,1,1
5,28,1,0,1,1,4.06,1,1
5,29,1,1,0,1,2.75,0,4
5,30,1,0,1,0,6.81,0,1
5,31,1,1,0,1,5.59,0,4
5,32,1,0,0,0,8.77,1,3
5,34,1,0,0,0,5.71,1,3
